4.0,3.361701965332031e-05
4.0,5.1975250244140625e-05
4.0,4.673004150390625e-05
4.0,3.528594970703125e-05
3.0,3.361701965332031e-05
4.0,3.337860107421875e-05
4.0,3.361701965332031e-05
4.0,3.337860107421875e-05
4.0,3.337860107421875e-05
4.0,5.6743621826171875e-05
4.0,4.506111145019531e-05
4.0,2.8133392333984375e-05
4.0,3.4809112548828125e-05
3.0,2.7179718017578125e-05
4.0,2.8848648071289062e-05
3.0,6.103515625e-05
3.0,6.29425048828125e-05
3.0,3.218650817871094e-05
4.0,3.123283386230469e-05
3.0,3.0517578125e-05
